Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type
39,Male,62,1.64,195,127,54,0.97,678,Cardio
45,Male,88.5,1.78,198,167,67,1.53,1265,HIIT
19,Female,73.9,1.77,198,137,64,1.28,877,Strength
59,Male,50.3,1.95,188,167,55,1.07,885,Strength
23,Male,83.1,1.8,185,162,56,0.7,624,Strength
45,Female,65.1,1.78,180,158,66,1.46,1038,Cardio
45,Male,46.6,1.79,176,168,55,1.46,1214,Yoga
37,Male,103.5,1.89,175,168,57,0.54,499,Cardio
47,Female,61.9,1.54,190,131,61,1.95,1150,Yoga
28,Female,52,1.61,168,164,70,1.32,1082,Yoga
45,Male,113.4,1.71,190,129,63,0.83,530,Strength
42,Male,62.9,1.98,173,126,61,1.42,886,Yoga
56,Female,40.4,1.8,196,165,72,1.23,913,Cardio
50,Female,67.1,1.75,161,120,59,0.67,362,Cardio
18,Male,70,1.61,173,168,71,1.3,1201,Strength
44,Female,69.5,1.75,192,155,69,1.02,711,HIIT
30,Male,107.9,1.66,194,140,64,1.08,832,Cardio
58,Male,109,1.91,198,156,56,1.49,1151,Yoga
20,Male,101,1.91,179,143,58,1.36,1070,Cardio
56,Male,88.5,1.85,161,144,59,1.57,1119,Cardio
23,Male,80.9,1.8,178,126,59,1.55,1074,Cardio
25,Female,43.1,1.62,196,161,65,1.04,837,HIIT
44,Female,59.1,1.52,177,136,56,1.58,967,Yoga
26,Female,54,1.53,175,148,54,1.14,844,Strength
54,Female,72.3,1.78,163,149,72,1.27,852,Cardio
50,Male,51.1,1.98,171,126,52,0.92,574,Yoga
59,Male,89.4,1.72,188,152,67,1.08,813,Yoga
41,Male,51.5,1.8,166,126,60,1.09,680,Strength
32,Male,87.9,1.88,173,143,64,1.52,1195,Cardio
49,Female,42,1.52,171,130,70,1.1,644,HIIT
49,Male,79.2,1.72,194,128,69,1.46,925,Yoga
41,Male,64.8,1.71,164,131,54,1.2,778,Strength
58,Female,63,1.78,176,154,73,1.58,1095,HIIT
29,Female,56.2,1.77,191,123,61,0.68,418,Yoga
56,Female,52.9,1.64,169,155,53,1.1,767,Cardio
19,Female,49,1.69,176,147,64,1.05,772,Yoga
20,Male,128.2,1.84,164,132,58,0.83,603,HIIT
54,Male,83.6,1.86,168,142,56,1.54,1082,HIIT
34,Female,56.2,1.77,192,138,59,1.81,1249,Cardio
19,Male,87.8,1.78,195,161,72,1.28,1133,Cardio
19,Male,85.9,1.85,195,156,62,1.66,1424,Strength
45,Male,51.1,1.87,177,158,57,1.44,1126,Cardio
40,Female,57.4,1.71,168,143,61,1.87,1337,Strength
54,Male,114.9,1.92,188,135,71,1.2,802,HIIT
49,Female,62.1,1.66,173,152,73,1.37,937,HIIT
50,Male,57.1,1.91,184,131,68,1.09,707,Yoga
18,Male,68.1,1.8,174,153,50,1.1,926,Yoga
36,Male,69.2,1.65,165,126,65,1.23,852,Strength
19,Female,65.2,1.52,188,130,71,1.23,800,Cardio
43,Male,108.6,1.73,174,150,66,1.33,988,Cardio
49,Female,40,1.65,188,148,74,1.03,686,Yoga
23,Female,41.9,1.58,163,132,67,0.56,370,HIIT
49,Female,68.3,1.52,177,150,60,1.45,979,Strength
21,Male,88.4,1.6,198,121,67,1.71,1138,HIIT
28,Male,66,1.9,175,158,56,1.18,1025,HIIT
34,Male,71.9,1.64,170,134,67,1.26,929,Cardio
55,Male,75.6,1.71,173,130,57,1.03,663,Strength
41,Female,63.4,1.59,162,153,55,1.84,1267,HIIT
22,Female,71.6,1.77,197,158,56,1.49,1177,Yoga
51,Female,57.4,1.77,177,123,72,1.08,598,Yoga
23,Male,83.8,1.99,179,130,71,1.79,1280,Cardio
39,Female,55.9,1.71,184,148,59,1.95,1443,Yoga
28,Male,87,1.76,197,121,60,1.2,799,Yoga
33,Female,65.3,1.71,172,135,74,1.18,796,HIIT
50,Male,45.4,1.67,163,158,62,1.37,1071,Yoga
26,Male,87.1,1.87,173,132,58,1.71,1241,Yoga
23,Female,78.6,1.73,192,156,56,1.47,1147,HIIT
33,Female,78,1.71,187,136,58,1.08,734,Cardio
46,Female,58,1.53,196,140,62,1.83,1153,Cardio
20,Female,71.3,1.69,167,163,52,1.28,1043,Strength
37,Male,49.1,1.74,193,138,52,1.11,842,Yoga
53,Female,78.3,1.65,164,126,50,1.24,703,HIIT
36,Female,57.3,1.64,164,157,70,1.13,887,Strength
43,Female,48.4,1.61,190,127,69,1.28,732,Cardio
20,Male,76.4,1.62,168,132,51,1.35,980,Cardio
36,Male,110.2,1.77,191,156,74,1.19,1021,HIIT
37,Female,72.9,1.76,192,121,52,1.21,732,Strength
49,Male,82.1,1.86,162,160,64,1.87,1481,Strength
24,Female,58.9,1.76,189,130,73,0.63,410,HIIT
58,Male,82.2,1.87,171,143,55,1.57,1111,HIIT
50,Male,96.7,1.72,188,125,62,1.46,903,Strength
57,Male,81.4,1.86,162,145,70,1.8,1292,Cardio
56,Male,107.8,1.73,185,126,50,1.09,680,Yoga
35,Female,65.8,1.62,189,158,69,1,790,Cardio
57,Female,68.5,1.56,168,138,68,1.45,900,HIIT
18,Female,63.9,1.59,185,125,50,1.87,1169,Strength
28,Male,76.3,1.62,161,162,70,1.16,1034,Strength
45,Female,44.5,1.65,162,148,71,1.44,959,Yoga
42,Female,50.7,1.75,163,162,51,1.29,940,Strength
40,Female,55.1,1.61,184,158,64,1.55,1224,Yoga
48,Male,73.7,1.61,172,121,63,1.36,815,Cardio
47,Male,55.6,1.77,198,138,68,1.2,820,Cardio
59,Male,86.9,1.76,194,123,60,1.13,688,Strength
52,Female,60.3,1.68,182,125,64,1.6,900,Strength
24,Female,40.4,1.64,168,168,55,0.99,832,HIIT
33,Female,78.5,1.66,161,156,69,1.29,1006,HIIT
43,Male,102.6,1.72,190,147,58,0.82,597,Strength
19,Male,110.8,1.91,161,149,54,1.31,1074,Strength
18,Female,60.9,1.79,191,126,69,1.11,699,Cardio
29,Male,55.7,1.61,177,128,51,1.41,993,Strength
22,Male,110.5,1.92,172,144,55,1.16,919,HIIT
54,Male,55.2,1.71,164,152,67,0.77,579,Cardio
49,Male,46.5,1.72,169,120,72,1.4,832,Yoga
26,Female,70.9,1.66,184,125,68,0.81,506,HIIT
58,Male,74.6,1.75,193,137,58,1.09,739,HIIT
52,Male,45.1,1.72,196,129,70,0.93,594,Cardio
36,Male,99.9,1.99,189,147,73,1.33,1075,Yoga
33,Male,117,1.61,166,130,55,1.04,744,HIIT
20,Female,75.9,1.73,165,152,63,1.39,1056,Strength
37,Female,71.2,1.64,162,120,73,1.11,666,HIIT
41,Male,78.8,1.72,172,132,62,1.01,660,Cardio
50,Male,50.6,1.69,162,156,60,1.31,1012,Cardio
41,Male,82.5,1.79,185,139,61,1.69,1163,Cardio
28,Male,108.5,1.79,183,120,68,1.33,878,HIIT
25,Male,49.9,1.98,165,122,68,1.15,772,Yoga
53,Male,125.1,1.91,171,137,70,0.52,353,Strength
55,Female,79.7,1.66,195,160,68,1.06,763,Cardio
57,Male,126.8,1.63,161,133,73,0.96,632,Yoga
37,Female,54.6,1.57,170,150,62,1.31,982,Strength
52,Female,47.8,1.54,198,146,63,1.34,880,Cardio
42,Male,97.9,1.91,193,136,73,1.01,680,Strength
52,Female,63.1,1.54,185,165,67,1.36,1010,Strength
42,Female,72.4,1.69,177,148,61,1.07,713,Yoga
46,Female,58.9,1.7,180,155,53,1.52,1060,Strength
35,Female,50.4,1.6,195,156,59,1.03,803,Cardio
35,Female,64.2,1.59,199,145,66,1.63,1182,Yoga
19,Female,58.8,1.77,181,136,53,1.4,952,HIIT
52,Male,105.2,1.62,189,141,61,1.36,949,HIIT
33,Female,45.9,1.5,189,144,62,0.92,662,Yoga
58,Female,65.2,1.63,167,121,53,1.12,610,HIIT
53,Female,56.3,1.79,193,141,59,1.52,964,Strength
50,Male,90,1.7,168,124,74,0.81,497,Cardio
21,Female,60,1.7,179,123,52,1.97,1212,Strength
50,Male,51.5,1.71,199,155,64,1.48,1136,Yoga
31,Female,63.1,1.64,184,125,51,1.54,962,Cardio
38,Male,91.5,1.77,178,140,74,0.8,616,Yoga
37,Male,48.7,1.67,164,132,74,1.39,1009,Yoga
25,Female,57.8,1.56,170,156,66,1.35,1053,Yoga
24,Female,42,1.75,174,144,55,0.83,598,Strength
20,Male,128.4,1.92,167,145,57,0.63,502,Cardio
34,Female,74.2,1.57,178,158,52,1.47,1161,Cardio
50,Male,89.6,1.68,182,139,74,1.79,1232,Cardio
29,Male,125.9,2,186,152,67,1.36,1137,Strength
39,Male,105.5,1.99,199,133,71,0.81,593,HIIT
39,Male,93.4,1.7,191,155,50,1.1,938,Strength
47,Male,82.1,1.84,185,136,65,1.37,922,Strength
55,Female,42.9,1.69,186,140,56,0.9,567,Yoga
55,Male,128.4,1.68,178,165,52,1.13,923,Cardio
25,Male,112.4,1.96,188,135,72,1.42,1054,Cardio
44,Female,77.7,1.79,198,165,53,1.41,1047,HIIT
44,Male,89.3,1.99,192,135,58,1.4,936,HIIT
51,Female,70.3,1.55,178,139,54,1.4,876,Yoga
38,Female,59.1,1.72,196,148,68,1.07,792,Cardio
47,Female,49.9,1.69,178,147,64,1.48,979,HIIT
50,Male,101.7,1.67,192,127,57,0.53,333,HIIT
45,Male,93,1.91,175,143,55,1.03,729,Cardio
50,Male,87.4,1.6,182,122,67,0.77,465,Strength
22,Female,55.1,1.61,166,144,68,1.62,1166,HIIT
36,Male,123.7,1.69,185,138,73,1.3,987,Cardio
21,Female,61.3,1.57,191,152,64,1.94,1474,HIIT
52,Male,72.3,1.94,171,121,56,1.46,874,Yoga
34,Female,69.2,1.53,167,134,59,1.36,911,HIIT
45,Male,81.4,1.61,164,141,55,1.14,796,Cardio
47,Male,84.8,1.86,187,129,63,1.85,1181,HIIT
46,Male,55.1,1.72,164,137,66,1.43,970,Yoga
23,Female,59,1.78,185,141,58,1.67,1177,Yoga
52,Female,64.9,1.51,164,165,68,1.83,1359,HIIT
58,Male,109.7,1.75,181,168,54,1.01,840,HIIT
54,Male,78.4,1.9,174,146,72,0.81,585,Yoga
41,Female,76.7,1.79,172,132,56,1.4,832,Yoga
46,Female,63.1,1.61,187,152,68,1,684,Strength
48,Female,62.9,1.58,192,124,69,1.98,1105,Strength
52,Male,85.6,1.74,182,145,56,1.84,1321,Yoga
50,Female,66.3,1.57,192,132,73,1.25,742,HIIT
38,Male,61.3,1.97,177,146,51,1.37,1100,Cardio
49,Female,44.1,1.65,189,133,74,1.16,694,HIIT
40,Male,63.8,1.62,185,143,72,1.3,1022,HIIT
50,Female,55.4,1.55,175,122,65,1.85,1016,Strength
20,Female,74.7,1.58,172,166,62,1.04,863,Strength
35,Female,78,1.67,198,168,57,1.13,949,Strength
42,Female,57.5,1.67,192,149,55,1.14,764,Yoga
59,Female,60.7,1.73,185,154,55,1.03,714,Yoga
48,Male,69,1.74,160,167,58,1.48,1223,HIIT
20,Female,75.8,1.78,197,133,53,1.42,944,HIIT
57,Female,75.7,1.63,161,131,60,0.69,407,Cardio
41,Female,71.2,1.64,165,147,54,1.42,939,HIIT
49,Male,85,1.68,197,163,74,1.82,1468,HIIT
39,Female,63.6,1.56,183,148,66,1.22,903,Strength
40,Male,73.2,1.94,177,162,69,0.81,722,Strength
19,Female,48.3,1.52,186,136,56,0.96,653,Strength
44,Female,42.8,1.78,167,159,64,1.49,1066,Strength
59,Male,88.1,1.76,187,168,74,1.35,1123,Strength
19,Female,72.4,1.75,169,140,64,1.2,840,Cardio
43,Male,73.2,1.88,176,142,63,1.17,822,Cardio
34,Male,110.5,1.86,188,139,62,1.42,1086,Cardio
57,Female,46.1,1.76,165,130,60,1.44,842,Strength
50,Male,90.8,1.71,173,153,62,1.07,810,Yoga
26,Female,59.3,1.51,181,129,71,1.7,1096,Strength
56,Female,45.1,1.73,165,129,73,0.83,482,Strength
46,Male,45,1.77,185,162,58,1.48,1187,Cardio
59,Male,89.4,1.62,198,125,59,1.43,885,Strength
43,Male,127.7,1.69,171,155,53,1.14,875,Cardio
52,Male,70.9,1.72,194,143,66,1.31,927,Strength
42,Female,49.2,1.5,173,131,63,1.15,678,HIIT
41,Female,62.3,1.79,181,162,73,1.99,1451,Yoga
30,Male,64.1,1.87,182,142,67,0.64,500,Yoga
24,Female,69.7,1.75,166,146,60,1.41,1029,Cardio
53,Female,56.9,1.59,199,164,65,1.49,1100,HIIT
37,Female,53,1.71,184,156,50,1.13,881,Yoga
18,Female,72.7,1.55,172,125,56,0.84,525,Cardio
25,Male,76.5,1.96,180,120,59,0.67,442,Strength
33,Male,113.6,1.99,169,125,58,1.38,949,Strength
31,Female,62.5,1.62,168,169,74,1.56,1318,HIIT
29,Male,95.2,1.86,174,141,52,0.64,496,Yoga
40,Male,51.7,1.82,161,160,71,0.9,792,Strength
32,Male,105.3,1.67,184,143,72,0.57,448,Cardio
45,Female,71.2,1.68,172,144,63,1.37,888,Strength
51,Female,78.1,1.51,193,134,74,0.92,555,Strength
19,Female,50.6,1.68,193,145,64,1.21,877,Yoga
49,Male,70.2,1.89,194,127,51,0.7,440,Yoga
40,Female,62.6,1.53,197,143,73,1.93,1380,Cardio
39,Female,60.6,1.65,162,167,63,0.92,768,HIIT
42,Male,76.4,1.97,165,157,65,1.14,886,HIIT
39,Female,63.3,1.71,178,125,56,1.88,1175,Strength
39,Female,68.6,1.64,162,154,53,1.33,1024,Cardio
59,Male,123.3,1.88,177,161,67,1.3,1036,HIIT
23,Male,107,1.94,198,120,73,1.35,891,HIIT
32,Male,68.3,1.92,168,165,54,1.42,1289,Strength
54,Female,47.8,1.6,171,155,55,1.19,830,Cardio
50,Female,58.4,1.79,164,131,56,1.6,943,HIIT
25,Female,74.3,1.71,162,157,64,1.43,1123,Yoga
22,Male,106.8,1.82,170,130,50,1,715,Yoga
56,Male,125.5,1.8,189,131,73,1.26,817,Strength
21,Female,55.2,1.55,163,161,53,1.37,1103,Strength
23,Female,71.4,1.72,164,169,74,1.25,1056,Strength
49,Male,77.7,1.61,160,158,50,1.03,806,Strength
47,Male,88.4,1.6,186,126,60,1.86,1160,HIIT
52,Male,104.8,1.99,187,130,67,0.93,598,Cardio
57,Male,82.2,1.69,188,155,63,1.15,882,Strength
33,Female,68.2,1.75,177,150,71,0.85,638,Strength
30,Male,91.4,1.99,171,152,60,1.37,1145,HIIT
59,Female,42.1,1.65,172,132,59,1.22,725,Strength
47,Female,68.7,1.76,161,137,66,1.37,845,Strength
36,Female,47.2,1.74,196,160,53,1.5,1200,Cardio
34,Male,92,1.76,175,143,73,0.73,574,Yoga
36,Male,56.2,1.95,183,128,64,1.09,767,Strength
45,Male,58.4,1.72,194,150,65,1.31,973,HIIT
43,Male,82.9,1.95,181,160,70,1.9,1505,Cardio
54,Female,66.9,1.74,195,129,62,1.24,720,HIIT
43,Male,66.3,1.85,170,121,58,1.18,707,Cardio
40,Male,93.6,1.93,188,157,60,1.38,1192,Cardio
26,Female,64.1,1.5,194,134,60,1.93,1293,Strength
29,Male,86.7,1.62,174,122,55,1.52,1020,Strength
18,Female,62,1.59,190,162,50,1.23,996,Strength
18,Female,58.1,1.61,175,150,71,1.9,1425,Yoga
51,Female,64.9,1.6,169,125,55,1.49,838,Yoga
49,Female,69.3,1.62,191,122,62,1.14,626,HIIT
42,Female,42.7,1.74,161,130,71,1.04,608,Strength
57,Female,51.4,1.63,183,134,73,1.2,724,Yoga
18,Female,67.4,1.6,182,164,71,0.6,492,Strength
33,Female,55.6,1.61,161,147,54,1.77,1301,Yoga
56,Male,125.3,1.86,197,129,64,1,639,Yoga
22,Male,102.1,1.85,190,157,67,1.48,1278,Cardio
39,Male,61.9,1.77,199,166,69,1.32,1205,Strength
46,Male,108.8,1.64,185,169,63,1.4,1171,Strength
20,Female,51.1,1.58,188,169,64,0.5,422,Yoga
29,Male,81.7,1.99,162,126,54,1.45,1005,Strength
43,Female,42.7,1.66,173,134,53,0.73,440,Yoga
33,Male,81.8,1.99,184,137,51,1.59,1198,Strength
54,Male,54.6,1.76,160,137,56,1.28,868,Cardio
39,Male,107.7,1.88,162,160,59,0.72,634,Strength
46,Female,56.9,1.6,185,143,65,0.88,566,Cardio
31,Male,78.8,1.71,177,121,59,1.49,992,HIIT
45,Female,48.2,1.64,168,159,67,1.25,894,Strength
22,Female,50.7,1.59,197,139,66,1.27,883,Strength
47,Male,86.6,1.99,182,153,70,1.98,1500,Strength
22,Male,96.3,1.63,180,162,62,1.35,1203,Cardio
29,Male,80.8,1.98,160,145,50,1.65,1316,Strength
33,Female,58,1.53,180,126,50,1.84,1159,Strength
43,Male,95.9,1.85,186,157,64,1.28,995,Yoga
43,Female,61.5,1.58,165,149,50,1.86,1247,HIIT
38,Female,40.6,1.79,195,161,55,0.62,499,Cardio
56,Male,82.5,1.87,187,124,74,1.51,927,Yoga
53,Male,105.1,1.84,176,130,62,0.69,444,Cardio
50,Female,58.1,1.58,199,120,50,1.93,1042,Yoga
47,Female,61,1.76,162,153,54,1.54,1060,HIIT
54,Female,64.5,1.53,171,120,58,1.74,940,Yoga
40,Male,58.2,1.98,198,138,74,1.43,1085,Cardio
27,Female,69.5,1.76,171,121,66,0.94,569,Strength
22,Male,62.2,1.84,161,140,65,0.51,393,Strength
53,Female,68,1.7,181,139,57,1.06,663,HIIT
51,Female,56.3,1.5,182,142,66,1.43,914,Cardio
48,Male,94.5,1.7,189,140,64,1.01,700,Cardio
27,Female,58,1.79,164,143,73,1.39,994,Cardio
36,Male,84,1.94,168,123,50,1.8,1218,HIIT
49,Male,61,1.87,180,131,61,1.14,739,Strength
18,Female,64.8,1.53,170,141,54,1.98,1396,Yoga
22,Male,45.7,1.77,164,139,73,1.04,795,HIIT
21,Male,80.9,1.9,194,137,55,1.8,1356,Yoga
33,Female,64.1,1.63,186,120,74,1.58,948,Strength
41,Male,67,1.77,161,149,50,1.22,900,HIIT
33,Male,106.5,1.6,183,152,74,1.4,1170,Strength
19,Male,95.1,1.85,190,143,50,1.21,952,Yoga
45,Female,65.5,1.57,192,133,59,0.66,395,Cardio
49,Male,105.7,1.64,198,155,59,1.2,921,Cardio
44,Female,48,1.76,189,124,52,0.88,491,Yoga
37,Female,69.5,1.5,196,130,66,0.69,448,Cardio
41,Male,66.1,1.69,187,143,68,0.77,545,Yoga
29,Male,68,1.7,190,150,60,0.76,627,HIIT
52,Male,50.3,1.78,170,132,67,0.85,555,HIIT
50,Female,69.3,1.68,182,135,51,1.2,729,HIIT
50,Male,86.7,1.63,161,143,58,1.7,1203,Cardio
54,Male,125.9,1.94,199,132,73,1.35,882,Strength
29,Male,88.1,1.93,186,143,66,1.88,1479,Cardio
20,Male,124.3,1.82,194,145,63,1.25,997,Cardio
18,Male,62,1.85,161,121,53,0.88,586,Strength
50,Female,69.7,1.72,198,135,66,1.24,753,Strength
57,Female,60.9,1.52,196,157,66,1.31,926,Strength
27,Male,76.5,1.97,180,165,61,1.13,1025,Strength
46,Male,94.7,1.82,164,120,69,1.47,873,Cardio
30,Male,67.9,1.75,180,168,67,1.25,1155,Yoga
